element,dept,color,country,planned $ amt,actual $ amt
Nobelium,Legal,Maroon,Equatorial Guinea,3146,2668
Iridium,Product Management,Purple,Croatia,2789,2731
Lead,Accounting,Maroon,China,1612,3127
Radium,Human Resources,Puce,Czech Republic,4890,1024
Protactinium,Human Resources,Aquamarine,Moldova,1164,4882
Bismuth,Engineering,Goldenrod,Russia,1197,3251
Americium,Accounting,Red,Myanmar,2226,4562
Americium,Training,Violet,Czech Republic,2088,3270
Nobelium,Support,Purple,France,1368,4075
Uranium,Services,Mauv,Thailand,3654,1297
Thallium,Legal,Blue,Costa Rica,4314,2379
Fermium,Legal,Fuscia,Poland,3390,1201
Bismuth,Sales,Orange,Brazil,1626,2462
Protactinium,Engineering,Blue,Tunisia,4797,4359
Gold,Sales,Violet,Brazil,3325,2765
Astatine,Legal,Teal,China,3402,1953
Mendelevium,Research and Development,Purple,Argentina,4948,4714
Thorium,Product Management,Green,Portugal,3229,3939
Mercury,Legal,Pink,Morocco,2334,3915
Neptunium,Business Development,Orange,Belarus,1042,4925
Radium,Research and Development,Pink,Argentina,3312,1360
Mendelevium,Engineering,Fuscia,Canada,1782,2091
Curium,Support,Blue,China,2988,1804
Iridium,Marketing,Goldenrod,Greece,2160,3391
Nobelium,Business Development,Khaki,China,2193,3881
Platinum,Business Development,Aquamarine,Japan,2153,3192
Einsteinium,Support,Khaki,Brazil,1320,4611
Americium,Human Resources,Goldenrod,Tajikistan,2020,2911
Lawrencium,Business Development,Mauv,China,3138,3522
Bismuth,Training,Puce,Ukraine,2555,2434
Polonium,Services,Aquamarine,Sweden,4145,2637
Thallium,Product Management,Violet,Philippines,1453,3783
Einsteinium,Research and Development,Aquamarine,Indonesia,4027,2794
Gold,Business Development,Aquamarine,Denmark,2208,1917
Gold,Research and Development,Khaki,Panama,3421,3963
Neptunium,Engineering,Red,Indonesia,3071,1200
Mercury,Marketing,Maroon,Czech Republic,2394,1849
Curium,Human Resources,Turquoise,Uzbekistan,1433,3539
Mercury,Accounting,Fuscia,China,1699,1112
Plutonium,Product Management,Maroon,Ethiopia,2442,2856
Californium,Accounting,Pink,Philippines,3961,3793
Thallium,Support,Puce,Portugal,3284,4610
Americium,Legal,Violet,Pakistan,2424,2385
Lead,Business Development,Green,China,4476,3524
Astatine,Business Development,Purple,China,4649,4549
Nobelium,Services,Khaki,Belarus,2564,1616
Protactinium,Marketing,Pink,Vietnam,2892,3354
Francium,Legal,Teal,Burkina Faso,4410,3605
Americium,Business Development,Indigo,Colombia,2734,2332
Nobelium,Accounting,Khaki,China,1616,2928
Mercury,Training,Crimson,Iran,1940,1269
Berkelium,Product Management,Crimson,China,3667,2824
Lawrencium,Research and Development,Goldenrod,South Korea,4738,1291
Iridium,Sales,Red,United States,4911,3666
Plutonium,Human Resources,Blue,Kenya,4556,4921
Lead,Legal,Turquoise,China,4027,3738
Radium,Accounting,Orange,China,4885,2142
Californium,Research and Development,Orange,Indonesia,2272,1003
Polonium,Research and Development,Turquoise,Norway,2486,4440
Protactinium,Legal,Teal,Russia,3180,3416
Astatine,Services,Aquamarine,China,4008,3736
Radium,Business Development,Blue,China,1728,2754
Radium,Engineering,Red,Indonesia,2554,1180
Bismuth,Accounting,Pink,Philippines,1398,3134
Uranium,Training,Goldenrod,Honduras,4007,2065
Einsteinium,Accounting,Orange,China,2420,2183
Thorium,Human Resources,Fuscia,Ukraine,4772,4387
Thorium,Training,Red,Brazil,2494,4813
Iridium,Legal,Goldenrod,Central African Republic,4497,2431
Thorium,Services,Teal,Honduras,2362,3821
Thorium,Support,Fuscia,Uzbekistan,4158,2850
Californium,Training,Yellow,France,3957,4500
Gold,Engineering,Pink,Portugal,4535,2122
Platinum,Product Management,Blue,Russia,2502,2201
Radon,Product Management,Orange,Brazil,2352,1433
Neptunium,Business Development,Purple,Brazil,2422,3298
Actinium,Support,Indigo,Dominican Republic,1315,1680
Thallium,Training,Khaki,Indonesia,1917,2859
Fermium,Accounting,Khaki,China,3290,4311
Gold,Legal,Indigo,Bolivia,4758,4819
Lead,Support,Pink,China,4478,1363
Radium,Legal,Orange,Colombia,1817,3050
Mendelevium,Services,Aquamarine,Indonesia,2344,4883
Neptunium,Training,Orange,France,2909,3690
Bismuth,Legal,Yellow,Cyprus,2202,2663
Einsteinium,Human Resources,Blue,China,4114,1295
Lawrencium,Product Management,Mauv,China,4331,2615
Astatine,Accounting,Green,Philippines,1381,4348
Mercury,Legal,Violet,China,3860,3254
Thorium,Training,Turquoise,Ukraine,3007,3667
Gold,Research and Development,Green,China,3548,3350
Gold,Business Development,Goldenrod,Colombia,1885,4369
Thallium,Accounting,Goldenrod,Egypt,3153,1006
Curium,Product Management,Khaki,Sweden,3305,1465
Berkelium,Sales,Violet,Philippines,4591,4174
Lawrencium,Support,Violet,China,3437,1402
Lead,Business Development,Fuscia,China,1546,3377
Polonium,Services,Red,China,3539,3143
Mendelevium,Legal,Green,Myanmar,2348,2401
Radon,Research and Development,Crimson,Indonesia,1223,2643
Lawrencium,Training,Indigo,China,2155,4753
Uranium,Human Resources,Violet,Japan,4533,3635
Nobelium,Training,Red,Russia,2704,1834
Neptunium,Product Management,Teal,Egypt,3001,3123
Radon,Business Development,Crimson,Greece,4149,2876
Californium,Product Management,Mauv,Brazil,1634,1590
Polonium,Product Management,Teal,China,2773,1762
Francium,Human Resources,Crimson,Cyprus,4808,1697
Americium,Marketing,Puce,Philippines,4131,4562
Bismuth,Sales,Yellow,Japan,2681,3811
Neptunium,Legal,Mauv,Ukraine,4021,3897
Americium,Business Development,Mauv,Indonesia,4985,1111
Mendelevium,Legal,Yellow,South Korea,1594,1628
Actinium,Marketing,Aquamarine,Norway,2740,4568
Mendelevium,Product Management,Green,China,4670,3491
Lawrencium,Accounting,Mauv,Philippines,4113,4105
Neptunium,Engineering,Orange,Philippines,4878,2607
Plutonium,Training,Red,Indonesia,2649,3011
Nobelium,Business Development,Goldenrod,Albania,1633,1828
Nobelium,Legal,Blue,Philippines,3700,4093
Actinium,Support,Khaki,Chad,2902,4300
Francium,Product Management,Indigo,China,3073,2313
Neptunium,Legal,Indigo,Brazil,2489,1662
Radium,Business Development,Pink,Japan,3218,1541
Lead,Business Development,Violet,Poland,3693,2603
Einsteinium,Marketing,Maroon,Colombia,2018,4611
Lead,Human Resources,Crimson,Brazil,2824,3402
Actinium,Product Management,Red,Taiwan,4260,2054
Uranium,Sales,Orange,Japan,3535,2713
Astatine,Research and Development,Khaki,Egypt,4579,3908
Bismuth,Research and Development,Maroon,Indonesia,4425,2545
Fermium,Accounting,Teal,Jamaica,4270,4894
Platinum,Training,Violet,China,4960,3183
Gold,Training,Goldenrod,Tanzania,3518,2301
Curium,Support,Mauv,Peru,4499,3272
Mendelevium,Legal,Green,Namibia,1410,2296
Curium,Business Development,Teal,China,2413,4892
Mendelevium,Sales,Crimson,Russia,1692,4884
Mendelevium,Sales,Khaki,Azerbaijan,2934,3982
Uranium,Human Resources,Violet,China,1900,3579
Plutonium,Product Management,Indigo,China,2601,4974
Curium,Research and Development,Violet,Peru,4036,4551
Bismuth,Legal,Goldenrod,Russia,3015,3047
Curium,Legal,Indigo,Uzbekistan,1945,4822
Protactinium,Research and Development,Aquamarine,Iran,2459,4933
Neptunium,Accounting,Red,China,4481,3102
Radon,Business Development,Fuscia,Greece,4681,3365
Americium,Engineering,Teal,Azerbaijan,1340,4847
Francium,Human Resources,Fuscia,Russia,2204,4222
Uranium,Sales,Purple,Indonesia,2722,4086
Nobelium,Product Management,Blue,China,4404,4449
Polonium,Support,Orange,Indonesia,3078,3932
Mercury,Accounting,Khaki,Japan,4015,1474
Polonium,Support,Teal,China,3224,4286
Neptunium,Accounting,Violet,China,4812,3886
Lawrencium,Marketing,Crimson,Poland,3057,3053
Neptunium,Research and Development,Crimson,Serbia,3005,2581
Francium,Engineering,Blue,Uzbekistan,3390,2570
Radium,Accounting,Crimson,China,2410,2658
Platinum,Human Resources,Maroon,China,1135,3366
Nobelium,Engineering,Turquoise,China,1639,1473
Thallium,Sales,Turquoise,China,4677,3037
Einsteinium,Training,Purple,China,2705,4156
Lawrencium,Product Management,Mauv,Argentina,2993,3068
Thorium,Human Resources,Khaki,China,1181,4916
Thallium,Research and Development,Purple,China,2795,1278
Einsteinium,Legal,Turquoise,Ivory Coast,1545,4225
Radon,Human Resources,Turquoise,Myanmar,3881,2048
Gold,Product Management,Fuscia,Philippines,1150,1652
Platinum,Accounting,Pink,China,4858,2772
Nobelium,Accounting,Orange,Poland,4032,2636
Curium,Human Resources,Teal,Canada,3286,1722
Nobelium,Human Resources,Mauv,China,2819,3424
Fermium,Training,Teal,China,3389,1314
Curium,Services,Yellow,Argentina,1087,4984
Actinium,Services,Red,Albania,2029,4128
Plutonium,Marketing,Violet,Philippines,4396,4397
Mercury,Research and Development,Purple,Portugal,2187,2394
Astatine,Legal,Goldenrod,China,4434,2143
Thorium,Support,Yellow,China,1574,3621
Americium,Research and Development,Khaki,Libya,3653,3428
Einsteinium,Engineering,Teal,China,4565,2080
Thorium,Engineering,Crimson,Croatia,1104,3181
Thorium,Services,Turquoise,Peru,1363,2457
Nobelium,Business Development,Green,France,1155,2162
Radon,Accounting,Red,Japan,3113,4577
Californium,Research and Development,Fuscia,Portugal,1446,3647
Neptunium,Services,Purple,Serbia,4789,4575
Polonium,Marketing,Aquamarine,Indonesia,2696,4411
Thorium,Research and Development,Purple,China,3415,4553
Americium,Sales,Fuscia,Czech Republic,1040,4555
Francium,Training,Khaki,Ecuador,3229,2589
Platinum,Engineering,Mauv,Nigeria,4348,2413
Protactinium,Business Development,Goldenrod,New Zealand,1992,4276
Fermium,Training,Goldenrod,Afghanistan,3315,2048
Californium,Business Development,Maroon,Greece,1908,3500
Einsteinium,Services,Yellow,Austria,2333,1426
Mendelevium,Product Management,Puce,China,4049,3845
Platinum,Support,Teal,Brazil,2516,3801
Berkelium,Research and Development,Green,Germany,1312,3707
Polonium,Sales,Indigo,Russia,3446,4584
Polonium,Marketing,Indigo,China,1569,4132
Lead,Accounting,Green,Brazil,3349,2946
Mercury,Research and Development,Blue,Peru,3927,4292
Fermium,Human Resources,Green,Ecuador,2970,2932
Einsteinium,Business Development,Crimson,Macedonia,2865,4224
Polonium,Sales,Teal,Ethiopia,3555,3868
Iridium,Accounting,Aquamarine,China,4709,4530
Californium,Sales,Aquamarine,Indonesia,1718,1678
Platinum,Research and Development,Orange,Haiti,3396,1783
Plutonium,Research and Development,Indigo,Canada,4356,1121
Berkelium,Human Resources,Goldenrod,Poland,3333,2919
Californium,Services,Yellow,China,4607,1985
Americium,Sales,Puce,Brazil,2670,2683
Nobelium,Legal,Red,Jordan,2528,1431
Francium,Product Management,Purple,Portugal,3108,4545
Fermium,Marketing,Orange,Indonesia,3297,2834
Berkelium,Sales,Khaki,United States,1276,4547
Radium,Accounting,Red,Morocco,1375,3279
Protactinium,Support,Fuscia,Morocco,3625,2627
Uranium,Legal,Aquamarine,Argentina,1054,4435
Lead,Sales,Mauv,Greece,1586,2574
Thallium,Human Resources,Khaki,Russia,4570,2720
Bismuth,Engineering,Red,Poland,3980,4028
Radium,Sales,Purple,Vietnam,4379,1876
Radium,Research and Development,Puce,China,1488,3391
Gold,Sales,Mauv,Mongolia,1531,3199
Thorium,Business Development,Aquamarine,China,4884,4353
Thallium,Human Resources,Puce,Argentina,1728,1059
Einsteinium,Legal,Purple,China,2184,3684
Radon,Product Management,Violet,Greece,1712,4853
Einsteinium,Engineering,Aquamarine,United States,1137,3755
Gold,Product Management,Turquoise,Montenegro,1098,4853
Lead,Business Development,Aquamarine,Indonesia,3809,2314
Lead,Support,Green,Pakistan,4187,3269
Lawrencium,Engineering,Mauv,Indonesia,1761,4958
Mercury,Research and Development,Goldenrod,Brazil,4344,1429
Berkelium,Legal,Maroon,Poland,1578,1290
Gold,Engineering,Puce,Indonesia,4007,1965
Francium,Human Resources,Pink,Portugal,1750,1227
Bismuth,Engineering,Pink,China,1296,4899
Actinium,Services,Teal,Brazil,4367,3559
Iridium,Legal,Blue,United States,3214,4249
Platinum,Support,Turquoise,Russia,2240,2200
Iridium,Sales,Mauv,Uzbekistan,4859,3343
Californium,Human Resources,Orange,Togo,1111,1767
Einsteinium,Sales,Pink,Poland,1945,3088
Francium,Research and Development,Pink,Philippines,1155,1409
Protactinium,Training,Maroon,China,2604,1832
Lead,Support,Orange,Libya,3392,3452
Berkelium,Engineering,Pink,Japan,3737,4023
Mercury,Services,Goldenrod,China,3404,1969
Curium,Human Resources,Aquamarine,Indonesia,4567,4404
Astatine,Legal,Green,Indonesia,3440,1244
Astatine,Engineering,Khaki,France,1982,3243
Curium,Product Management,Teal,Paraguay,2248,4768
Lawrencium,Training,Fuscia,Japan,3015,3833
Iridium,Engineering,Puce,Russia,1326,3486
Fermium,Human Resources,Pink,Sudan,3937,1707
Actinium,Engineering,Khaki,China,3838,2218
Thallium,Legal,Purple,Russia,4923,3424
Radon,Legal,Fuscia,Honduras,3158,2411
Mercury,Support,Green,China,3941,3911
Mendelevium,Services,Aquamarine,Philippines,4052,2498
Protactinium,Marketing,Puce,China,3004,4808
Neptunium,Engineering,Fuscia,Sweden,3945,1332
Berkelium,Marketing,Red,Yemen,3435,3731
Radium,Engineering,Goldenrod,Ukraine,3095,4865
Thorium,Research and Development,Orange,Philippines,1025,2267
Mercury,Sales,Yellow,New Zealand,4795,4660
Thorium,Product Management,Khaki,China,3335,2004
Radon,Sales,Green,Russia,2234,3693
Americium,Sales,Fuscia,Madagascar,1931,3079
Americium,Engineering,Orange,Russia,1318,1677
Einsteinium,Human Resources,Turquoise,Philippines,1256,2788
Bismuth,Human Resources,Red,Chile,2424,4634
Americium,Services,Turquoise,Peru,4458,3960
Lead,Business Development,Orange,Germany,4200,2201
Polonium,Training,Puce,Peru,3985,2806
Protactinium,Product Management,Fuscia,Indonesia,2014,3642
Uranium,Services,Indigo,Slovenia,4340,4951
Californium,Accounting,Purple,China,1768,2704
Curium,Services,Green,China,3214,2693
Lawrencium,Product Management,Crimson,China,4717,1185
Francium,Sales,Crimson,Indonesia,4505,3700
Plutonium,Engineering,Maroon,Indonesia,3418,4517
Actinium,Sales,Orange,Nigeria,3411,2898
Lead,Support,Orange,Serbia,1548,3397
Fermium,Business Development,Turquoise,Bolivia,3327,4203
Radon,Services,Goldenrod,Canada,1232,4750
Thallium,Product Management,Aquamarine,China,1777,2405
Thallium,Research and Development,Khaki,Sri Lanka,4060,1789
Lead,Research and Development,Green,Bulgaria,2931,1636
Mercury,Training,Indigo,Ukraine,4149,3507
Californium,Research and Development,Khaki,Brunei,3287,3663
Platinum,Support,Goldenrod,Indonesia,3017,4225
Plutonium,Support,Indigo,China,4966,2403
Gold,Engineering,Blue,Poland,2793,3044
Platinum,Human Resources,Green,China,3717,1558
Neptunium,Support,Aquamarine,Philippines,2821,3284
Thorium,Engineering,Khaki,China,1825,4071
Iridium,Research and Development,Red,Indonesia,2305,2840
Astatine,Accounting,Crimson,Portugal,3765,1349
Mercury,Engineering,Maroon,Brazil,1173,4103
Polonium,Product Management,Maroon,China,2700,1290
Fermium,Engineering,Pink,Iran,4566,2656
Mendelevium,Human Resources,Indigo,Mexico,3701,4925
Curium,Accounting,Yellow,Ukraine,1426,1843
